4189;4190;doc2016;2014-05-24 20:04:51
4189;4197;docNULL;2014-05-24 20:15:40
1302;1303;doc2016;2014-05-20 00:13:38
1302;4093;docNULL;2014-05-24 16:33:31
1302;8141;doc2563;2014-06-01 13:35:38
1302;8214;doc15704;2014-06-01 16:37:24
1263;1264;doc2016;2014-05-19 22:27:17
1102;1103;doc2016;2014-05-19 16:54:18
1102;1108;docNULL;2014-05-19 17:07:24
1102;4666;doc2563;2014-05-25 19:28:14
1102;7361;doc15704;2014-05-30 13:33:02
6696;6697;doc2016;2014-05-28 20:45:10
6696;6701;docNULL;2014-05-28 20:56:33
1267;1437;docNULL;2014-05-20 13:41:05
1267;6900;doc2563;2014-05-29 14:24:19
1267;6973;doc15704;2014-05-29 16:57:15
1267;9587;doc49187;2014-06-05 20:27:32
1267;11342;doc14;2014-06-12 14:22:08
1267;12508;webcollagerestNULL;2014-06-18 20:44:11
2223;2224;doc2016;2014-05-21 20:06:54
2223;2234;docNULL;2014-05-21 20:15:32
2223;8330;doc2563;2014-06-01 19:57:41
2223;8685;doc15704;2014-06-02 20:21:30
3048;3049;doc2016;2014-05-23 06:52:40
3048;3253;docNULL;2014-05-23 12:40:34
3048;4878;doc2563;2014-05-26 07:13:37
3048;5973;doc15704;2014-05-27 19:20:44
9123;9124;doc2016;2014-06-03 23:17:19
4574;4575;doc2016;2014-05-25 16:57:12
4574;4602;docNULL;2014-05-25 17:51:25
3573;3574;doc2016;2014-05-23 20:05:39
3573;4013;docNULL;2014-05-24 12:33:09
3573;7351;doc2563;2014-05-30 13:10:11
3573;7369;doc15704;2014-05-30 14:17:11
3286;3287;doc2016;2014-05-23 13:12:03
3286;3297;docNULL;2014-05-23 13:22:47
4577;4578;doc2016;2014-05-25 16:57:20
4225;4226;doc2016;2014-05-24 21:32:28
3042;3043;doc2016;2014-05-23 06:22:29
3042;3051;docNULL;2014-05-23 06:53:05
3042;7982;doc15704;2014-05-31 23:00:54
3042;10027;doc2563;2014-06-07 10:49:11
5154;5155;doc2016;2014-05-26 15:12:19
5154;5157;docNULL;2014-05-26 15:14:10
1544;1545;doc2016;2014-05-20 17:16:37
1544;1770;docNULL;2014-05-20 22:31:58
1544;1788;doc14;2014-05-20 22:44:28
1831;1832;doc2016;2014-05-20 23:28:54
5593;5600;docNULL;2014-05-27 01:32:59
5593;6231;doc2563;2014-05-27 22:59:40
5593;6528;doc15704;2014-05-28 16:17:14
5593;8635;doc49187;2014-06-02 18:37:15
1834;1835;doc2016;2014-05-20 23:33:27
1834;1842;docNULL;2014-05-20 23:53:48
1834;5093;doc2563;2014-05-26 13:56:45
1834;8861;doc15704;2014-06-03 16:49:44
1834;11287;doc49187;2014-06-12 11:08:39
1834;12232;webcollagerestNULL;2014-06-16 12:34:50
7479;7480;doc2016;2014-05-30 19:27:43
7479;7493;docNULL;2014-05-30 19:44:19
7479;13087;doc4726;2014-06-25 10:23:02
1076;1077;doc2016;2014-05-19 16:07:29
1076;1495;docNULL;2014-05-20 15:56:50
5625;5626;doc2016;2014-05-27 08:47:49
5625;5636;imageNULL;2014-05-27 09:02:57
5625;5686;docNULL;2014-05-27 10:20:32
5625;6005;doc2563;2014-05-27 19:50:54
5625;6870;doc15704;2014-05-29 12:08:59
5625;8599;doc49187;2014-06-02 15:59:27
1941;1944;docNULL;2014-05-21 12:11:19
1941;5700;doc2563;2014-05-27 10:47:58
1941;7442;doc15704;2014-05-30 18:16:20
1941;10072;doc49187;2014-06-07 12:32:14
1941;12895;doc8412;2014-06-21 12:23:12
9281;9282;doc2016;2014-06-04 14:15:30
7739;7740;doc2016;2014-05-31 10:43:34
7739;8090;docNULL;2014-06-01 11:46:37
7739;9879;doc2563;2014-06-06 17:59:31
3256;3257;doc2016;2014-05-23 12:42:41
3256;3259;docNULL;2014-05-23 12:45:01
3256;6038;doc2563;2014-05-27 20:21:32
3256;7840;doc15704;2014-05-31 17:29:18
3256;9994;doc49187;2014-06-07 08:30:34
1549;1550;doc2016;2014-05-20 17:31:20
1549;1552;docNULL;2014-05-20 17:33:03
2855;2856;doc2016;2014-05-22 21:54:33
2855;2862;doc14;2014-05-22 21:59:50
2855;6154;doc2563;2014-05-27 22:16:55
1370;1371;doc2016;2014-05-20 11:47:42
1370;1385;docNULL;2014-05-20 12:07:27
1370;5564;doc2563;2014-05-26 23:56:00
1370;7193;doc15704;2014-05-30 00:19:26
1370;11734;doc49187;2014-06-14 00:14:09
1370;12397;doc14;2014-06-17 23:29:16
1370;12746;doc8412;2014-06-20 00:01:51
1373;1374;doc2016;2014-05-20 11:47:43
1373;1388;docNULL;2014-05-20 12:07:35
1373;5570;doc2563;2014-05-26 23:56:18
1373;7189;doc15704;2014-05-30 00:19:02
1373;11729;doc49187;2014-06-14 00:08:59
1373;12402;cldNULL;2014-06-17 23:34:27
1373;12409;doc14;2014-06-17 23:38:56
1373;12742;doc8412;2014-06-20 00:00:26
10836;10837;doc2016;2014-06-10 19:10:46
13000;13001;doc2016;2014-06-22 21:53:34
13483;13484;doc2016;2014-09-26 16:54:16
1376;1377;doc2016;2014-05-20 11:57:42
1376;1379;docNULL;2014-05-20 12:01:00
1675;1676;doc2016;2014-05-20 20:12:15
1675;1716;docNULL;2014-05-20 21:29:41
1675;5484;doc2563;2014-05-26 23:17:33
1675;7499;doc15704;2014-05-30 19:58:05
1675;9463;doc49187;2014-06-04 22:57:57
1467;1468;doc2016;2014-05-20 15:16:48
1467;3717;docNULL;2014-05-23 22:25:36
1467;6471;doc2563;2014-05-28 13:35:35
1467;10791;doc15704;2014-06-10 15:50:20
4375;4376;doc2016;2014-05-25 09:45:07
4375;4379;docNULL;2014-05-25 09:51:07
4375;7991;doc2563;2014-05-31 23:15:01
4375;8191;doc15704;2014-06-01 15:52:11
4375;11537;doc49187;2014-06-13 11:25:21
2240;2241;doc2016;2014-05-21 20:17:01
1671;1680;docNULL;2014-05-20 20:24:01
1671;4688;doc2563;2014-05-25 20:05:49
1671;7511;doc15704;2014-05-30 20:22:45
13487;13488;doc2016;2014-09-30 17:22:09
3990;3991;doc2016;2014-05-24 12:06:41
3990;3994;docNULL;2014-05-24 12:09:44
1317;1318;doc2016;2014-05-20 00:38:04
1317;2205;docNULL;2014-05-21 19:28:56
1317;7096;doc2563;2014-05-29 20:44:24
1095;1850;docNULL;2014-05-21 00:14:03
1095;2978;doc2563;2014-05-22 23:28:11
1095;2983;doc15704;2014-05-22 23:36:13
5066;5067;doc2016;2014-05-26 13:11:36
5066;5069;docNULL;2014-05-26 13:17:04
5066;7678;doc2563;2014-05-31 00:37:43
5066;8783;doc15704;2014-06-02 23:37:05
5066;8952;doc49187;2014-06-03 19:27:11
5066;13171;doc8412;2014-06-29 11:23:11
5066;13430;doc14;2014-07-22 18:47:41
1314;1315;doc2016;2014-05-20 00:36:35
1314;1795;docNULL;2014-05-20 22:51:33
2460;2461;doc2016;2014-05-21 23:50:33
2460;2546;docNULL;2014-05-22 01:26:04
1158;1159;doc2016;2014-05-19 18:07:33
1158;1167;docNULL;2014-05-19 18:16:00
